IPS ID,Event Time,Location,Instruments,Catalog
2011-10-24T17:48:00-IPS-001,2011-10-24T17:48Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-10-29T10:00:00-IPS-001,2011-10-29T10:00Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2011-10-30T08:49:00-IPS-001,2011-10-30T08:49Z,Earth,ACE: MAG;ACE: SWEPAM;,SWRC_CATALOG
2011-11-01T08:00:00-IPS-001,2011-11-01T08:00Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-11-04T15:09:00-IPS-001,2011-11-04T15:09Z,MESSENGER,MESSENGER: MAG,WINSLOW_MESSENGER_ICME_CATALOG
2011-11-06T05:00:00-IPS-001,2011-11-06T05:00Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2011-11-07T15:00:00-IPS-001,2011-11-07T15:00Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-11-12T03:30:00-IPS-001,2011-11-12T03:30Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-11-12T05:30:00-IPS-001,2011-11-12T05:30Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-11-14T02:06:00-IPS-001,2011-11-14T02:06Z,MESSENGER,MESSENGER: MAG,WINSLOW_MESSENGER_ICME_CATALOG
2011-11-19T07:30:00-IPS-001,2011-11-19T07:30Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2011-11-20T14:00:00-IPS-001,2011-11-20T14:00Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2011-11-23T05:03:00-IPS-001,2011-11-23T05:03Z,MESSENGER,MESSENGER: MAG,WINSLOW_MESSENGER_ICME_CATALOG
2011-11-25T21:39:00-IPS-001,2011-11-25T21:39Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
