Flare ID,Begin Time,Peak Time,End Time,Class Type,Source Location,Active Region,Instruments,Linked Events Activity ID
2015-10-01T13:03:00-FLR-001,2015-10-01T13:03Z,2015-10-01T13:10Z,2015-10-01T13:14Z,M4.5,S18W62,12422,GOES15: SEM/XRS 1.0-8.0,None
2015-10-02T00:08:00-FLR-001,2015-10-02T00:08Z,2015-10-02T00:13Z,2015-10-02T00:17Z,M5.5,S20W66,12422,GOES15: SEM/XRS 1.0-8.0,None
2015-10-02T12:21:00-FLR-001,2015-10-02T12:21Z,2015-10-02T12:26Z,2015-10-02T12:31Z,M1.0,S20W73,12422,GOES15: SEM/XRS 1.0-8.0,None
2015-10-02T17:10:00-FLR-001,2015-10-02T17:10Z,2015-10-02T17:18Z,2015-10-02T17:25Z,M1.0,S21W78,12422,GOES15: SEM/XRS 1.0-8.0,None
2015-10-04T02:36:00-FLR-001,2015-10-04T02:36Z,2015-10-04T02:41Z,2015-10-04T02:48Z,M1.0,S18W78,12422,GOES15: SEM/XRS 1.0-8.0,None
2015-10-15T23:27:00-FLR-001,2015-10-15T23:27Z,2015-10-15T23:31Z,2015-10-15T23:37Z,M1.1,S11E50,12434,GOES15: SEM/XRS 1.0-8.0,None
2015-10-16T06:11:00-FLR-001,2015-10-16T06:11Z,2015-10-16T06:16Z,2015-10-16T06:20Z,M1.1,S11E45,12434,GOES15: SEM/XRS 1.0-8.0,None
2015-10-17T20:09:00-FLR-001,2015-10-17T20:09Z,2015-10-17T20:23Z,2015-10-17T20:28Z,M1.1,S18E79,12437,GOES15: SEM/XRS 1.0-8.0,None
2015-10-17T20:35:00-FLR-001,2015-10-17T20:35Z,2015-10-17T20:42Z,2015-10-17T20:46Z,M1.5,S18E79,12437,GOES15: SEM/XRS 1.0-8.0,None
2015-10-22T02:13:00-FLR-001,2015-10-22T02:13Z,2015-10-22T03:40Z,2015-10-22T07:44Z,C4.4,S10W34,12434,GOES15: SEM/XRS 1.0-8.0,2015-10-22T03:12:00-CME-001
2015-10-29T01:03:00-FLR-001,2015-10-29T01:03Z,2015-10-29T01:25Z,2015-10-29T01:40Z,C1.1,N19W37,12440,GOES15: SEM/XRS 1.0-8.0;,2015-10-29T04:00:00-SEP-001;2015-10-29T04:35:00-SEP-001;2015-10-29T05:50:00-SEP-001;
2015-10-31T17:48:00-FLR-001,2015-10-31T17:48Z,2015-10-31T17:52Z,2015-10-31T17:55Z,M1.0,N08E45,12443,GOES15: SEM/XRS 1.0-8.0,None
