GST ID,Start Time,Observed Time,KP Index,Source,Linked Events Activity ID
2015-03-17T06:00:00-GST-001,2015-03-17T06:00Z,2015-03-18T03:00Z,6,NOAA,2015-03-15T02:00:00-CME-001;2015-03-17T04:05:00-IPS-001;2015-03-16T00:00:00-HSS-001;
2015-03-17T06:00:00-GST-001,2015-03-17T06:00Z,2015-03-18T18:00Z,6,NOAA,2015-03-15T02:00:00-CME-001;2015-03-17T04:05:00-IPS-001;2015-03-16T00:00:00-HSS-001;
2015-03-22T06:00:00-GST-001,2015-03-22T06:00Z,2015-03-22T09:00Z,6,NOAA,2015-03-21T20:25:00-IPS-001
2015-04-10T03:00:00-GST-001,2015-04-10T03:00Z,2015-04-10T06:00Z,6,NOAA,None
2015-04-10T03:00:00-GST-001,2015-04-10T03:00Z,2015-04-10T06:00Z,6,NOAA,None
2015-04-10T03:00:00-GST-001,2015-04-10T03:00Z,2015-04-10T09:00Z,6,NOAA,None
2015-04-16T21:00:00-GST-001,2015-04-16T21:00Z,2015-04-17T00:00Z,6,NOAA,None
2015-05-13T03:00:00-GST-001,2015-05-13T03:00Z,2015-05-13T06:00Z,6,NOAA,2015-05-12T17:20:00-HSS-001
2015-05-13T03:00:00-GST-001,2015-05-13T03:00Z,2015-05-13T09:00Z,6,NOAA,2015-05-12T17:20:00-HSS-001
2015-05-13T04:30:00-GST-001,2015-05-13T04:30Z,2015-05-13T09:00Z,6,NOAA,None
2015-05-19T00:00:00-GST-001,2015-05-19T00:00Z,2015-05-19T03:00Z,6,NOAA,None
2015-05-19T00:00:00-GST-001,2015-05-19T00:00Z,2015-05-19T03:00Z,6,NOAA,None
2015-06-08T06:00:00-GST-001,2015-06-08T06:00Z,2015-06-08T09:00Z,6,NOAA,2015-06-08T00:16:00-HSS-001
2015-06-22T18:00:00-GST-001,2015-06-22T18:00Z,2015-06-22T21:00Z,8,NOAA,2015-06-21T02:48:00-CME-001;2015-06-22T17:59:00-IPS-001;
2015-06-22T18:00:00-GST-001,2015-06-22T18:00Z,2015-06-22T21:00Z,8,NOAA,2015-06-21T02:48:00-CME-001;2015-06-22T17:59:00-IPS-001;
2015-06-22T18:00:00-GST-001,2015-06-22T18:00Z,2015-06-23T03:00Z,7,NOAA,2015-06-21T02:48:00-CME-001;2015-06-22T17:59:00-IPS-001;
2015-06-22T18:00:00-GST-001,2015-06-22T18:00Z,2015-06-23T06:00Z,8,NOAA,2015-06-21T02:48:00-CME-001;2015-06-22T17:59:00-IPS-001;
2015-06-22T18:00:00-GST-001,2015-06-22T18:00Z,2015-06-23T09:00Z,6,NOAA,2015-06-21T02:48:00-CME-001;2015-06-22T17:59:00-IPS-001;
2015-06-22T18:00:00-GST-001,2015-06-22T18:00Z,2015-06-23T15:00Z,6,NOAA,2015-06-21T02:48:00-CME-001;2015-06-22T17:59:00-IPS-001;
2015-06-25T06:00:00-GST-001,2015-06-25T06:00Z,2015-06-25T09:00Z,6,NOAA,2015-06-22T18:36:00-CME-001;2015-06-24T12:57:00-IPS-001;
2015-07-04T13:00:00-GST-001,2015-07-04T13:00Z,2015-07-05T00:00Z,5,NOAA,2015-07-04T11:58:00-IPS-001;2015-07-04T11:59:00-HSS-001;2015-07-04T20:20:00-MPC-001;
2015-07-04T13:00:00-GST-001,2015-07-04T13:00Z,2015-07-05T03:00Z,6,NOAA,2015-07-04T11:58:00-IPS-001;2015-07-04T11:59:00-HSS-001;2015-07-04T20:20:00-MPC-001;
