SEP ID,Event Time,Instruments,Linked Events Activity ID
2014-02-20T08:55:00-SEP-001,2014-02-20T08:55Z,SOHO: COSTEP 15.8-39.8 MeV,2014-02-20T08:00:00-CME-001
2014-02-25T06:05:00-SEP-001,2014-02-25T06:05Z,STEREO A: IMPACT 13-100 MeV;,2014-02-25T00:41:00-FLR-001;2014-02-25T01:25:00-CME-001;
2014-02-25T13:55:00-SEP-001,2014-02-25T13:55Z,GOES13: SEM/EPS >10 MeV;,2014-02-25T00:41:00-FLR-001;2014-02-25T01:25:00-CME-001;
2014-03-05T21:05:00-SEP-001,2014-03-05T21:05Z,STEREO A: IMPACT 13-100 MeV;,2014-03-04T18:48:00-CME-001;2014-03-05T13:54:00-CME-001;
2014-03-12T20:47:00-SEP-001,2014-03-12T20:47Z,STEREO A: IMPACT 13-100 MeV,2014-03-12T14:39:00-CME-001
2014-04-02T15:55:00-SEP-001,2014-04-02T15:55Z,STEREO B: IMPACT 13-100 MeV;,2014-04-02T13:18:00-FLR-001;2014-04-02T13:55:00-CME-001;
2014-04-18T15:25:00-SEP-001,2014-04-18T15:25Z,GOES13: SEM/EPS >10 MeV;,2014-04-18T12:31:00-FLR-001;2014-04-18T13:09:00-CME-001;
2014-04-18T21:51:00-SEP-001,2014-04-18T21:51Z,SOHO: COSTEP 15.8-39.8 MeV,2014-04-18T12:31:00-FLR-001
2014-08-28T20:58:00-SEP-001,2014-08-28T20:58Z,STEREO A: IMPACT 13-100 MeV,2014-08-28T17:54:00-CME-001
2014-09-01T12:14:00-SEP-001,2014-09-01T12:14Z,STEREO B: IMPACT 13-100 MeV,2014-09-01T11:24:00-CME-001
2014-09-02T07:05:00-SEP-001,2014-09-02T07:05Z,STEREO A: IMPACT 13-100 MeV;,2014-09-01T11:24:00-CME-001;2014-09-01T16:00:00-CME-001;2014-09-01T22:24:00-CME-001;
2014-09-04T22:45:00-SEP-001,2014-09-04T22:45Z,STEREO B: IMPACT 13-100 MeV,2014-09-01T11:24:00-CME-001
2014-09-11T02:40:00-SEP-001,2014-09-11T02:40Z,GOES13: SEM/EPS >10 MeV;,2014-09-10T17:21:00-FLR-001;2014-09-10T18:18:00-CME-001;2014-09-12T15:26:00-IPS-001;
2014-09-11T04:25:00-SEP-001,2014-09-11T04:25Z,GOES13: SEM/EPS >100 MeV;,2014-09-10T17:21:00-FLR-001;2014-09-10T18:18:00-CME-001;2014-09-12T15:26:00-IPS-001;
2014-09-25T02:25:00-SEP-001,2014-09-25T02:25Z,STEREO B: IMPACT 13-100 MeV,2014-09-24T21:54:00-CME-001
2014-09-25T19:51:00-SEP-001,2014-09-25T19:51Z,STEREO A: IMPACT 13-100 MeV,2014-09-24T21:54:00-CME-001
2014-10-15T06:57:00-SEP-001,2014-10-15T06:57Z,STEREO A: IMPACT 13-100 MeV;,2014-10-14T19:00:00-CME-001;2014-10-14T19:07:00-FLR-001;
2014-11-02T21:10:00-SEP-001,2014-11-02T21:10Z,GOES13: SEM/EPS >10 MeV,None
2014-12-13T19:16:00-SEP-001,2014-12-13T19:16Z,STEREO A: IMPACT 13-100 MeV,2014-12-13T14:24:00-CME-001
2014-12-23T11:15:00-SEP-001,2014-12-23T11:15Z,GOES13: SEM/EPS >10 MeV,None
2015-03-06T19:20:00-SEP-001,2015-03-06T19:20Z,STEREO A: IMPACT 13-100 MeV;,2015-03-05T17:06:00-FLR-001;2015-03-05T20:36:00-CME-001;2015-03-06T04:14:00-FLR-001;2015-03-06T04:49:00-CME-001;
2015-03-16T07:36:00-SEP-001,2015-03-16T07:36Z,SOHO: COSTEP 15.8-39.8 MeV;,2015-03-15T01:15:00-FLR-001;2015-03-15T02:00:00-CME-001;
2015-06-18T09:25:00-SEP-001,2015-06-18T09:25Z,GOES13: SEM/EPS >10 MeV;,2015-06-18T00:34:00-FLR-001;2015-06-18T01:25:00-CME-001;
2015-06-18T15:30:00-SEP-001,2015-06-18T15:30Z,SOHO: COSTEP 15.8-39.8 MeV;,2015-06-18T00:34:00-FLR-001;2015-06-18T01:25:00-CME-001;
2015-06-21T20:35:00-SEP-001,2015-06-21T20:35Z,GOES13: SEM/EPS >10 MeV;,2015-06-21T01:02:00-FLR-001;2015-06-21T02:06:00-FLR-001;2015-06-21T02:48:00-CME-001;2015-06-21T09:38:00-FLR-001;2015-06-21T15:40:00-IPS-001;2015-06-21T18:10:00-FLR-001;
2015-06-25T18:00:00-SEP-001,2015-06-25T18:00Z,SOHO: COSTEP 15.8-39.8 MeV;,2015-06-25T08:02:00-FLR-001;2015-06-25T08:36:00-CME-001;
2015-06-26T01:20:00-SEP-001,2015-06-26T01:20Z,GOES13: SEM/EPS >10 MeV;,2015-06-25T08:02:00-FLR-001;2015-06-25T08:36:00-CME-001;
2015-10-29T04:00:00-SEP-001,2015-10-29T04:00Z,SOHO: COSTEP 15.8-39.8 MeV;,2015-10-29T01:03:00-FLR-001;2015-10-29T01:25:00-CME-001;2015-10-29T02:48:00-CME-001;
2015-10-29T04:35:00-SEP-001,2015-10-29T04:35Z,GOES13: SEM/EPS >100 MeV;,2015-10-29T01:03:00-FLR-001;2015-10-29T01:25:00-CME-001;2015-10-29T02:48:00-CME-001;
2015-10-29T05:50:00-SEP-001,2015-10-29T05:50Z,GOES13: SEM/EPS >10 MeV;,2015-10-29T01:03:00-FLR-001;2015-10-29T01:25:00-CME-001;2015-10-29T02:48:00-CME-001;
2016-01-02T02:48:00-SEP-001,2016-01-02T02:48Z,SOHO: COSTEP 15.8-39.8 MeV;,2016-01-01T23:00:00-FLR-001;2016-01-01T23:12:00-CME-001;
2016-01-02T04:30:00-SEP-001,2016-01-02T04:30Z,GOES13: SEM/EPS >10 MeV;,2016-01-01T23:00:00-FLR-001;2016-01-01T23:12:00-CME-001;
